                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0669,                 4.7879,                 2.0183,                0.03453,                0.02374,                0.00273,                0.00152,                 2.3165,                  7.087,                 1.7216,                0.00018,                0.00018,                0.00018
                      2,                 2.5506,                 11.026,                 1.7485,                0.01964,                0.06452,                0.00595,                0.00182,                    nan,                    nan,                    nan,             0.00037749,             0.00037749,             0.00037749
                      3,                 2.5052,                 3.3427,                 1.8454,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,             0.00057234,             0.00057234,             0.00057234
                      4,                 2.7888,                 2.7333,                 1.8958,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,             0.00076456,             0.00076456,             0.00076456
                      5,                 2.9684,                 2.5827,                 2.0216,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,             0.00095413,             0.00095413,             0.00095413
                      6,                 2.8412,                 2.4135,                 1.9874,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0011411,              0.0011411,              0.0011411
                      7,                 2.6926,                 2.3197,                  1.913,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0013254,              0.0013254,              0.0013254
                      8,                 2.7382,                 2.1503,                 1.9036,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,               0.001507,               0.001507,               0.001507
                      9,                 2.9367,                 2.4859,                 1.9963,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,               0.001686,               0.001686,               0.001686
                     10,                 2.8463,                 2.4126,                 1.9779,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0018624,              0.0018624,              0.0018624
                     11,                 2.8682,                 2.3792,                 2.0543,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,               0.001868,               0.001868,               0.001868
                     12,                 2.6968,                  2.248,                  1.888,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,               0.001868,               0.001868,               0.001868
                     13,                 2.6495,                 2.1774,                 1.8267,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.8243,                 2.3069,                 1.9923,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     15,                 2.7022,                  2.241,                 1.9028,                  0.001,                0.19355,                 0.0006,                0.00018,                    nan,                    nan,                    nan,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.5496,                 1.9889,                  1.819,                0.28218,                0.22581,                0.15804,                0.05577,                 2.4606,                  3.088,                 1.6989,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.5788,                 1.9812,                 1.7618,                0.09316,                0.04839,                0.03645,                0.01452,                 2.6381,                 3.4907,                  1.793,               0.001802,               0.001802,               0.001802
                     18,                 2.6408,                  2.078,                 1.7907,                0.00239,                0.03226,                0.00136,                 0.0004,                 3.8914,                 5.0418,                 2.4024,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.5346,                 1.9803,                 1.7667,                0.03435,                0.29032,                0.03017,                0.01103,                 3.2134,                 3.6233,                 2.0655,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.4663,                 1.9926,                 1.8001,                0.01633,                0.14516,                0.01713,                 0.0055,                 4.2923,                 4.2551,                 2.6534,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.4736,                 2.0924,                 1.7614,                0.00271,                0.06452,                0.00199,                0.00069,                  5.064,                 5.1405,                 3.2793,              0.0017492,              0.0017492,              0.0017492
