                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9161,                 5.5627,                 2.3528,                 0.0038,                0.01613,                0.00094,                0.00029,                 2.3436,                 45.956,                 1.9745,                0.00018,                0.00018,                0.00018
                      2,                 2.4964,                 7.7798,                 2.0241,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,             0.00037812,             0.00037812,             0.00037812
                      3,                 2.5272,                 3.2623,                 2.0451,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,             0.00057426,             0.00057426,             0.00057426
                      4,                 2.5733,                 2.9293,                 2.0897,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,             0.00076842,             0.00076842,             0.00076842
                      5,                 2.8595,                 4.8202,                 2.3634,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,              0.0009606,              0.0009606,              0.0009606
                      6,                 2.7386,                  2.918,                 2.2865,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,              0.0011508,              0.0011508,              0.0011508
                      7,                 2.7249,                 2.8428,                 2.3473,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,               0.001339,               0.001339,               0.001339
                      8,                 2.6297,                 2.5505,                 2.2481,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,              0.0015253,              0.0015253,              0.0015253
                      9,                 2.7005,                 2.4303,                 2.2449,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,              0.0017095,              0.0017095,              0.0017095
                     10,                 2.7696,                 2.7316,                 2.2849,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,              0.0018918,              0.0018918,              0.0018918
                     11,                 2.6655,                  2.548,                 2.2496,                0.00211,                0.33871,                0.00153,                0.00062,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     12,                  2.621,                 2.4737,                 2.2195,                0.00787,                0.04839,                 0.0205,                0.00616,                 2.9918,                 3.0262,                 2.2181,               0.001901,               0.001901,               0.001901
                     13,                 2.5869,                  2.347,                 2.1766,                0.00787,                0.04839,                 0.0205,                0.00616,                 2.6332,                 11.312,                 2.0509,              0.0018911,              0.0018911,              0.0018911
                     14,                  2.635,                 2.5396,                 2.2833,                0.00787,                0.04839,                 0.0205,                0.00616,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.5148,                 2.3791,                 2.2386,                0.00787,                0.04839,                 0.0205,                0.00616,                    nan,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.9127,                 3.0264,                 2.3095,                0.00787,                0.04839,                 0.0205,                0.00616,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.6035,                 2.3702,                 2.1778,                0.00062,                 0.1129,                0.00034,                0.00013,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.5301,                 2.4408,                 2.1312,                0.00161,                0.17742,                0.00103,                0.00036,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     19,                  2.557,                 2.2446,                 2.2198,                0.03012,                    0.5,                0.02002,                0.00669,                 2.8585,                    inf,                 10.569,              0.0018317,              0.0018317,              0.0018317
                     20,                 2.5391,                 2.3702,                 2.1904,                0.12582,                0.20968,                0.04392,                0.01226,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.4783,                 2.4085,                  2.157,                0.00384,                0.03226,                0.01538,                0.00305,                    nan,                    nan,                    nan,              0.0018119,              0.0018119,              0.0018119
                     22,                 2.4403,                 2.2053,                 2.0569,                0.30011,                0.17988,                0.16294,                0.06591,                 2.8102,                 3.7984,                 4.5642,               0.001802,               0.001802,               0.001802
                     23,                 2.5139,                 2.3087,                 2.2124,                0.77797,                0.03226,                0.03633,                 0.0054,                 3.5191,                 11.075,                 3.9095,              0.0017921,              0.0017921,              0.0017921
                     24,                 2.5064,                 2.3121,                 2.0221,                 0.6459,                0.41935,                0.38492,                0.14329,                 2.4467,                 5.0829,                 1.9589,              0.0017822,              0.0017822,              0.0017822
                     25,                 2.4533,                 2.4816,                 2.1215,                0.00166,                0.14516,                0.00103,                0.00032,                 3.7069,                  311.7,                 2.7555,              0.0017723,              0.0017723,              0.0017723
                     26,                 2.3603,                 2.4335,                 2.0521,                0.00017,                0.03226,                  9e-05,                  2e-05,                 4.8619,                 242.53,                 7.8487,              0.0017624,              0.0017624,              0.0017624
                     27,                  2.294,                 2.1302,                 1.9692,                0.61722,                0.43548,                0.43491,                0.17401,                 2.3143,                 4.9029,                 2.0098,              0.0017525,              0.0017525,              0.0017525
                     28,                 2.3171,                 2.1253,                 1.9942,                0.60486,                0.39513,                0.38864,                0.13115,                 2.4108,                 7.7848,                 2.0942,              0.0017426,              0.0017426,              0.0017426
                     29,                 2.3515,                 2.1666,                 2.0695,                0.00033,                0.06452,                0.00018,                  6e-05,                 3.8014,                 34.916,                 3.2302,              0.0017327,              0.0017327,              0.0017327
                     30,                  2.606,                 2.5532,                 2.1598,                0.00128,                0.24194,                0.00096,                0.00033,                 3.2356,                  9.247,                 2.6703,              0.0017228,              0.0017228,              0.0017228
                     31,                 2.4072,                 2.2496,                  2.104,                 0.0024,                0.16129,                 0.0024,                0.00069,                 2.9036,                 6.3129,                 2.3753,              0.0017129,              0.0017129,              0.0017129
                     32,                 2.3666,                 2.1391,                 2.0274,                0.04609,                0.17742,                0.03072,                0.00999,                 3.2833,                   5.06,                 2.5581,               0.001703,               0.001703,               0.001703
                     33,                 2.4097,                  2.227,                 2.0656,                0.08934,                0.12903,                0.01685,                0.00418,                 3.4101,                 4.7779,                 2.5086,              0.0016931,              0.0016931,              0.0016931
                     34,                 2.3037,                 2.1589,                 2.0732,                 0.3178,                0.30645,                0.19257,                0.05259,                 2.9653,                 2.2024,                 2.3556,              0.0016832,              0.0016832,              0.0016832
                     35,                 2.3967,                 2.2218,                 2.0256,                0.43462,                0.43548,                 0.3632,                0.14104,                 2.2563,                 2.7762,                 1.9971,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.3727,                 2.1459,                 1.9922,                0.35602,                0.33871,                 0.2589,                0.08126,                 2.6077,                 2.3344,                 1.9943,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.2922,                 2.1087,                 1.9505,                0.08649,                0.03226,                0.04019,                0.01101,                 3.0432,                 3.5734,                 2.2224,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.2403,                 1.9809,                 1.9638,                0.00269,                0.51613,                0.01459,                0.00302,                 3.2991,                 4.3603,                 2.3947,              0.0016436,              0.0016436,              0.0016436
                     39,                  2.398,                 2.1145,                 2.0999,                0.74022,                0.09236,                0.12486,                0.03268,                 3.0088,                 3.7673,                 2.3004,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.4066,                 2.1551,                 2.0438,                 0.0184,                0.06452,                0.02812,                  0.008,                 3.1476,                 3.9086,                 2.5566,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.2511,                 2.0502,                 1.9149,                0.07601,                0.09677,                0.04284,                0.01236,                 3.0863,                 3.9439,                 2.3782,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.2494,                 2.0778,                 2.0368,                0.01286,                0.14516,                0.01324,                0.00361,                 4.0833,                 3.9542,                  3.072,               0.001604,               0.001604,               0.001604
                     43,                 2.2128,                 2.0045,                 1.9504,                0.33636,                0.17742,                0.16126,                0.05031,                 2.7673,                 2.2288,                 2.1474,              0.0015941,              0.0015941,              0.0015941
                     44,                 2.3655,                 2.1571,                 2.0431,                0.10149,                0.16129,                0.03206,                0.00621,                 3.6927,                 3.2188,                 2.8057,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.1819,                  2.065,                 1.9309,                0.07809,                0.16129,                0.02924,                0.00601,                 2.8201,                 3.2744,                  2.302,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.2737,                 2.0742,                 1.9009,                0.04618,                0.17742,                0.02853,                0.00875,                 4.0592,                 4.6529,                 3.0252,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.2405,                 1.9786,                 1.9148,                0.04914,                0.17742,                 0.0226,                0.00449,                 2.9196,                 4.1669,                 2.3772,              0.0015545,              0.0015545,              0.0015545
                     48,                  2.122,                 1.9856,                 1.9189,                0.02747,                0.16129,                0.01641,                0.00489,                 2.8141,                 5.1081,                 2.3891,              0.0015446,              0.0015446,              0.0015446
                     49,                 2.1349,                 1.8485,                 1.8664,                0.00787,                0.16129,                0.02586,                0.01223,                 3.3103,                 5.7045,                 2.6921,              0.0015347,              0.0015347,              0.0015347
                     50,                 2.1878,                 1.9615,                  1.868,                0.20333,                0.19355,                0.14145,                0.05337,                 2.4882,                 2.8473,                 2.1961,              0.0015248,              0.0015248,              0.0015248
