                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0669,                 4.7879,                 2.0183,                0.03453,                0.02374,                0.00273,                0.00152,                 2.3165,                  7.087,                 1.7216,                0.00018,                0.00018,                0.00018
                      2,                  2.536,                 10.571,                 1.7566,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,             0.00037812,             0.00037812,             0.00037812
                      3,                 2.4763,                 2.8671,                   1.76,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,             0.00057426,             0.00057426,             0.00057426
                      4,                 2.7218,                 2.2975,                 1.8282,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,             0.00076842,             0.00076842,             0.00076842
                      5,                 2.8572,                 2.4432,                 2.0105,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,              0.0009606,              0.0009606,              0.0009606
                      6,                 2.7383,                 2.2719,                 1.9635,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,              0.0011508,              0.0011508,              0.0011508
                      7,                 2.7597,                   2.41,                 1.9998,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,               0.001339,               0.001339,               0.001339
                      8,                 2.8358,                 2.3843,                 1.9735,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,              0.0015253,              0.0015253,              0.0015253
                      9,                 2.6286,                 2.1511,                 1.8146,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,              0.0017095,              0.0017095,              0.0017095
                     10,                  2.805,                 2.2531,                 1.9924,                0.02398,                0.17742,                0.00756,                0.00244,                    nan,                    nan,                    nan,              0.0018918,              0.0018918,              0.0018918
                     11,                 2.7219,                 2.1337,                 1.9464,                 0.0103,                0.54839,                0.00716,                0.00263,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     12,                 2.5792,                 2.1153,                  1.857,                0.01069,                0.51613,                0.00714,                0.00298,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     13,                 2.6557,                 2.0801,                 1.8235,                 0.3598,                0.22581,                0.17741,                0.06034,                    nan,                    nan,                    nan,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.7251,                 2.1011,                 1.9471,                 0.3598,                0.22581,                0.17741,                0.06034,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.7103,                 2.0619,                 1.9144,                 0.0005,                0.01613,                0.00024,                  2e-05,                    nan,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.5645,                 2.0507,                 1.8147,                0.17092,                0.09319,                0.09329,                0.02576,                 4.2242,                 3.7968,                 2.8269,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.6793,                 2.0479,                 1.8486,                0.00185,                0.20968,                0.00236,                0.00067,                 5.3018,                 10.323,                 4.2414,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.6925,                 2.0651,                 1.8441,                0.03548,                0.03226,                0.00655,                0.00132,                 4.9687,                 5.4047,                 5.7789,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.4939,                 2.0368,                  1.775,                0.03548,                0.03226,                0.00655,                0.00132,                 5.4782,                 4.6098,                  14.14,              0.0018317,              0.0018317,              0.0018317
                     20,                 2.5143,                 2.0785,                 1.8351,                0.03548,                0.03226,                0.00655,                0.00132,                 4.4512,                  532.4,                 3.9542,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.4642,                 2.0038,                 1.8071,                0.05856,                0.08065,                0.01164,                 0.0027,                 4.4259,                 4.1235,                 2.9669,              0.0018119,              0.0018119,              0.0018119
                     22,                 2.4085,                 1.9288,                 1.7076,                0.06011,                0.09677,                0.02059,                0.00362,                 4.2091,                 5.0662,                 2.3934,               0.001802,               0.001802,               0.001802
                     23,                 2.5223,                 1.9055,                 1.7711,                0.10443,                0.22581,                0.05159,                0.01372,                 2.9637,                 3.5091,                 2.0019,              0.0017921,              0.0017921,              0.0017921
                     24,                 2.4263,                 1.9062,                  1.673,                0.79355,                0.53226,                 0.5145,                0.23314,                 2.5924,                 6.4021,                 1.7646,              0.0017822,              0.0017822,              0.0017822
                     25,                  2.534,                 2.0314,                  1.779,                0.14081,                0.08065,                0.02893,                0.00741,                 3.7121,                 7.8437,                 2.5678,              0.0017723,              0.0017723,              0.0017723
                     26,                 2.4184,                 2.0184,                   1.76,                0.00151,                0.14516,                0.00131,                0.00031,                 4.4512,                 58.947,                 3.4741,              0.0017624,              0.0017624,              0.0017624
                     27,                 2.4746,                 1.9419,                 1.6957,                0.00751,                0.20968,                0.00811,                0.00188,                 3.9161,                 30.518,                 2.7434,              0.0017525,              0.0017525,              0.0017525
                     28,                 2.4028,                 1.8936,                 1.6973,                 0.0272,                0.06452,                0.00443,                0.00103,                 3.4421,                  13.85,                 2.1822,              0.0017426,              0.0017426,              0.0017426
                     29,                 2.3998,                   1.86,                 1.6997,                0.38316,                0.17742,                0.13705,                0.04474,                 2.9093,                 2.8778,                 1.8531,              0.0017327,              0.0017327,              0.0017327
                     30,                  2.494,                 1.8818,                 1.7659,                0.66279,                0.51613,                 0.5088,                0.20731,                 2.3106,                 2.1831,                 1.5793,              0.0017228,              0.0017228,              0.0017228
                     31,                 2.4691,                 1.8865,                 1.7389,                0.65814,                0.51613,                0.51416,                0.19153,                 2.2176,                 2.2518,                 1.5364,              0.0017129,              0.0017129,              0.0017129
                     32,                 2.4746,                 1.8712,                 1.7233,                0.58735,                0.41935,                0.45791,                0.15426,                  2.308,                 1.9182,                 1.6395,               0.001703,               0.001703,               0.001703
                     33,                 2.4419,                 1.9025,                 1.7279,                0.77063,                0.51613,                0.57665,                0.21974,                 2.0529,                 1.6421,                 1.5356,              0.0016931,              0.0016931,              0.0016931
                     34,                  2.344,                    1.8,                 1.7344,                0.76865,                0.51613,                0.53257,                0.23711,                 2.3885,                 1.3053,                 1.5367,              0.0016832,              0.0016832,              0.0016832
                     35,                 2.3504,                 1.7624,                 1.6647,                0.69261,                0.51613,                0.58695,                0.21624,                  2.218,                 1.5612,                 1.5559,              0.0016733,              0.0016733,              0.0016733
                     36,                 2.2939,                 1.8162,                 1.6396,                 0.0479,                 0.1129,                0.01014,                0.00244,                 3.4086,                 4.9862,                 2.2246,              0.0016634,              0.0016634,              0.0016634
                     37,                 2.3634,                  1.824,                 1.6589,                0.05466,                0.05973,                0.01174,                0.00253,                  3.819,                  4.071,                  2.459,              0.0016535,              0.0016535,              0.0016535
                     38,                 2.2422,                  1.738,                 1.6214,                 0.0028,                0.51613,                0.00226,                0.00073,                 3.6758,                 18.527,                  2.657,              0.0016436,              0.0016436,              0.0016436
                     39,                 2.2847,                 1.7959,                 1.6763,                 0.0017,                0.24194,                0.00114,                0.00037,                 3.9032,                 23.571,                 2.7149,              0.0016337,              0.0016337,              0.0016337
                     40,                 2.2716,                 1.8068,                 1.6398,                 0.2019,                0.09677,                0.05775,                0.01179,                 3.1769,                 2.9866,                 2.0506,              0.0016238,              0.0016238,              0.0016238
                     41,                 2.3069,                 1.6978,                 1.5861,                0.31713,                0.22581,                0.12965,                0.04029,                 2.6314,                 2.3627,                 1.7449,              0.0016139,              0.0016139,              0.0016139
                     42,                 2.2755,                  1.716,                 1.6566,                0.12266,                0.17742,                0.09068,                0.02491,                 3.0674,                 2.4898,                 1.9278,               0.001604,               0.001604,               0.001604
                     43,                 2.1595,                 1.7081,                 1.5632,                0.01001,                0.01613,                0.00311,                0.00067,                 4.1864,                 4.4859,                 2.5406,              0.0015941,              0.0015941,              0.0015941
                     44,                 2.5149,                 2.0047,                 1.7337,                0.00885,                0.06452,                0.00352,                0.00114,                 3.4996,                 13.322,                 2.2094,              0.0015842,              0.0015842,              0.0015842
                     45,                 2.2144,                  1.848,                 1.6146,                0.51221,                0.33871,                0.29198,                0.09153,                 2.4228,                 5.3204,                 1.7264,              0.0015743,              0.0015743,              0.0015743
                     46,                 2.2283,                 1.7819,                 1.5843,                0.11969,                 0.1129,                0.04517,                0.01045,                  3.355,                 3.1576,                 2.1834,              0.0015644,              0.0015644,              0.0015644
                     47,                 2.3057,                 1.8652,                 1.6323,                0.73256,                0.48603,                0.52301,                0.20233,                 2.3992,                 1.9068,                 1.6569,              0.0015545,              0.0015545,              0.0015545
                     48,                 2.1443,                 1.7502,                 1.6021,                 0.9079,                 0.4771,                0.55956,                0.23228,                 2.3025,                 1.9679,                 1.6389,              0.0015446,              0.0015446,              0.0015446
                     49,                 2.1296,                 1.6785,                 1.5765,                0.80443,                0.48387,                0.56333,                0.23984,                  2.213,                 2.5912,                 1.5753,              0.0015347,              0.0015347,              0.0015347
                     50,                  2.226,                 1.7762,                 1.6071,                0.73541,                0.44836,                0.52601,                0.22041,                 2.2316,                 1.6799,                 1.5588,              0.0015248,              0.0015248,              0.0015248
                     51,                 2.2109,                 1.8988,                  1.685,                0.69723,                0.48289,                0.53581,                 0.2361,                 2.2012,                  2.007,                 1.5594,              0.0015149,              0.0015149,              0.0015149
