                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4591,                 5.3689,                 3.6346,                      0,                      0,                      0,                      0,                 4.5533,                 6.5773,                 3.4817,                0.00018,                0.00018,                0.00018
                      2,                 4.4791,                 5.1778,                 3.6327,                0.00058,                 0.1129,                 0.0004,                 0.0001,                 4.5457,                 6.5824,                 3.4797,             0.00037624,             0.00037624,             0.00037624
                      3,                 4.3313,                 4.7539,                 3.4779,                0.00067,                0.12903,                0.00047,                0.00011,                 4.5336,                 6.5322,                 3.4753,             0.00056852,             0.00056852,             0.00056852
                      4,                 4.4445,                 4.8895,                 3.4724,                0.00067,                0.12903,                0.00045,                0.00013,                 4.5237,                 6.3342,                 3.4748,             0.00075683,             0.00075683,             0.00075683
                      5,                 4.1906,                  4.808,                 3.4004,                0.00067,                0.12903,                0.00048,                0.00015,                 4.4816,                 5.8517,                  3.446,             0.00094119,             0.00094119,             0.00094119
                      6,                 3.7993,                 4.0221,                 3.2137,                0.00067,                0.12903,                0.00053,                0.00018,                 4.4883,                 5.9365,                 3.4355,              0.0011216,              0.0011216,              0.0011216
                      7,                 3.6977,                 3.7974,                 3.1502,                0.00089,                0.16129,                0.00066,                 0.0002,                 4.3205,                 4.6583,                 3.2971,               0.001298,               0.001298,               0.001298
                      8,                 3.5998,                 3.4599,                 2.9316,                  0.001,                0.19355,                0.00075,                0.00023,                 4.1833,                  4.927,                 3.1936,              0.0014705,              0.0014705,              0.0014705
                      9,                 3.4912,                 3.3886,                 2.8613,                 0.0015,                0.29032,                0.00102,                 0.0003,                 3.7548,                 4.7807,                 2.9737,               0.001639,               0.001639,               0.001639
                     10,                  3.544,                  3.456,                 2.8996,                0.00454,                0.56452,                0.01655,                0.00567,                 3.2318,                 4.0079,                 2.6834,              0.0018036,              0.0018036,              0.0018036
                     11,                 3.5138,                 3.3745,                 2.8806,                0.00457,                0.59677,                0.13516,                0.04701,                 3.3395,                 3.1309,                 2.6277,               0.001802,               0.001802,               0.001802
                     12,                 3.2029,                 3.1064,                 2.6669,                0.00279,                0.53226,                0.02743,                0.00759,                 3.7682,                 3.9188,                 3.1194,               0.001802,               0.001802,               0.001802
                     13,                  3.236,                 3.0513,                  2.631,                0.03072,                0.45161,                0.01791,                0.00632,                 4.0058,                 10.729,                 4.0082,              0.0017822,              0.0017822,              0.0017822
                     14,                  3.262,                 3.0072,                  2.736,                0.21905,                0.25806,                0.12785,                0.04715,                 4.0876,                 24.003,                 4.3155,              0.0017624,              0.0017624,              0.0017624
