                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5133,                 5.4315,                 2.2529,                      0,                      0,                      0,                      0,                 2.6743,                 5.2492,                 2.4579,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.4498,                  5.393,                 2.2172,                      0,                      0,                      0,                      0,                 2.6122,                  5.227,                 2.3765,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 2.4446,                 5.4221,                 2.1547,                      0,                      0,                      0,                      0,                 2.5532,                 5.2129,                 2.3202,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 2.4513,                 5.4095,                 2.1744,                      0,                      0,                      0,                      0,                 2.5152,                 5.1964,                 2.2934,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 2.3324,                  5.362,                 2.1462,                      0,                      0,                      0,                      0,                 2.4579,                 5.1778,                 2.2556,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 2.2491,                 5.3177,                 2.0826,                      0,                      0,                      0,                      0,                 2.4033,                 5.1588,                 2.2117,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  2.228,                 5.2846,                 2.0632,                      0,                      0,                      0,                      0,                 2.3404,                 5.1511,                 2.1696,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 2.1434,                 5.2535,                 2.0026,                      0,                      0,                      0,                      0,                 2.2927,                 5.1263,                 2.1394,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 2.1028,                  5.247,                 1.9743,                      0,                      0,                      0,                      0,                 2.2462,                  5.104,                 2.1138,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 2.0704,                 5.1973,                 2.0185,                0.00352,                0.00011,                0.00178,                 0.0008,                 2.2039,                 5.0719,                 2.0821,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 2.0626,                 5.1478,                 1.9777,                0.00089,                0.00067,                0.00051,                0.00018,                 2.1449,                 5.0076,                 2.0496,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 2.0999,                 5.0973,                 1.9948,                0.00071,                0.00172,                0.00047,                 0.0002,                 2.1265,                 4.9454,                 2.0351,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.9411,                 5.0408,                  1.895,                0.00261,                0.00408,                0.00166,                0.00033,                 2.1056,                  4.862,                 2.0187,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.9219,                 4.9478,                 1.8874,                0.00102,                0.00541,                0.00084,                0.00033,                 2.0893,                  4.769,                 2.0066,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.9353,                 4.9129,                    1.9,                0.00151,                0.01113,                0.00145,                0.00063,                 2.0739,                 4.6803,                 1.9918,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.9551,                 4.8909,                 1.9055,                0.01009,                0.01864,                0.00729,                0.00478,                 2.0676,                 4.5912,                 1.9817,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.9394,                 4.8045,                 1.8707,                0.00468,                 0.0273,                0.00533,                0.00293,                 2.0596,                 4.5076,                 1.9757,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.9597,                 4.8171,                 1.8699,                0.00307,                0.03662,                0.00592,                0.00291,                 2.0501,                 4.4322,                 1.9724,             0.00010015,             0.00010015,             0.00010015
                     19,                 1.9021,                 4.7686,                 1.8606,                0.00791,                 0.0453,                0.01304,                0.00559,                 2.0325,                 4.3676,                 1.9593,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 1.9297,                 4.7546,                 1.8952,                0.00443,                0.04972,                  0.012,                0.00603,                 2.0137,                 4.3083,                 1.9527,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.9259,                 4.6041,                 1.8649,                0.64118,                0.00771,                0.01154,                0.00567,                 1.9993,                 4.2622,                  1.944,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.8642,                 4.6896,                 1.8264,                0.61895,                0.00971,                0.01236,                0.00588,                 1.9954,                 4.2123,                 1.9472,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                  1.868,                 4.6265,                 1.8629,                0.67372,                0.01088,                0.01279,                0.00606,                 1.9873,                 4.1849,                 1.9435,              9.426e-05,              9.426e-05,              9.426e-05
